company ,date_(stocks),year_(stocks),high_(stocks),low_(stocks),total_volume_(billion),last_(stocks),change_(last)
Microsoft Game Studios,12/31/2004,2004,27.44,26.68,1.83,26.72,
Electronic Arts,12/31/2004,2004,63.71,48.05,0.14,61.68,
Sony,12/31/2004,2004,39.2,35.75,16.5,38.96,
Nintendo,12/31/2004,2004,3.17,2.85,17.3,3.17,
Microsoft Game Studios,12/30/2005,2005,28.1,26.1,1.27,26.15,-0.57
Electronic Arts,12/30/2005,2005,58.23,52.12,0.08,52.31,-9.37
Sony,12/30/2005,2005,41.3,36.2,0.01,40.8,1.84
Nintendo,12/30/2005,2005,3.06,2.72,20888500,3.05,-0.12
Microsoft Game Studios,12/29/2006,2006,30.26,28.8,1.14,29.86,3.71
Electronic Arts,12/29/2006,2006,56.68,50.21,77786700,50.36,-1.95
Sony,12/29/2006,2006,43.78,39.27,19630900,42.83,2.03
Nintendo,12/29/2006,2006,6.55,5.82,12284500,6.5,3.45
Microsoft Game Studios,12/31/2007,2007,36.72,32.63,1.06,35.6,5.74
Electronic Arts,12/31/2007,2007,60.35,53.96,59614200,58.41,8.05
Sony,12/31/2007,2007,56.15,52.61,16138500,54.3,11.47
Nintendo,12/31/2007,2007,15.68,13.65,17405500,14.81,8.31
Microsoft Game Studios,12/31/2008,2008,21.25,18.47,1.55,19.44,-16.16
Electronic Arts,12/31/2008,2008,22.05,14.79,204826200,16.04,-42.37
Sony,12/31/2008,2008,21.89,18.09,32184500,21.87,-32.43
Nintendo,12/31/2008,2008,13.53,7.36,62230000,9.36,-5.45
Microsoft Game Studios,12/31/2009,2009,31.5,29.25,0.92,30.48,11.04
Electronic Arts,12/31/2009,2009,18.28,15.86,136146300,17.75,1.71
Sony,12/31/2009,2009,29.58,26.76,14090000,29,7.13
Nintendo,12/31/2009,2009,6.2,5.65,30178000,5.96,-3.4
Microsoft Game Studios,12/31/2010,2010,28.4,25.56,1.033,27.91,-2.57
Electronic Arts,12/31/2010,2010,16.66,14.9,89300500,16.38,-1.37
Sony,12/31/2010,2010,36.88,35.07,13742300,35.71,6.71
Nintendo,12/31/2010,2010,7.41,6.9,13463000,7.27,1.31
Microsoft Game Studios,12/30/2011,2011,26.19,25.16,1,25.96,-1.95
Electronic Arts,12/30/2011,2011,23.8,19.77,114468600,20.6,4.22
Sony,12/30/2011,2011,18.61,16.67,25480500,18.04,-17.67
Nintendo,12/30/2011,2011,3.7,3.33,21723500,3.39,-3.88
Microsoft Game Studios,12/31/2012,2012,27.73,26.26,0.95,26.71,0.75
Electronic Arts,12/31/2012,2012,14.55,13.83,7190777,14.52,-6.08
Sony,12/31/2012,2012,11.21,10.99,1388234,11.2,-6.84
Nintendo,12/31/2012,2012,2.676,2.64,356790,2.662,-0.728
Microsoft Game Studios,12/31/2013,2013,38.98,35.53,0.83,37.41,10.7
Electronic Arts,12/31/2013,2013,23.16,22.625,3337378,22.94,8.42
Sony,12/31/2013,2013,17.55,17.25,1570889,17.29,6.09
Nintendo,12/31/2013,2013,3.348,3.334,143555,3.336,0.674
Microsoft Game Studios,12/31/2014,2014,49.06,44.9,0.63,46.45,9.04
Electronic Arts,12/31/2014,2014,47.95,46.97,1842250,47.015,24.075
Sony,12/31/2014,2014,20.71,20.465,846198,20.47,3.18
Nintendo,12/31/2014,2014,2.608,2.59,422000,2.59,-0.746
Microsoft Game Studios,12/31/2015,2015,56.85,53.68,0.79,55.48,9.03
Electronic Arts,12/31/2015,2015,69.67,68.71,1143965,68.72,21.705
Sony,12/31/2015,2015,24.77,24.51,688926,24.61,4.14
Nintendo,12/31/2015,2015,3.463,3.446,95140,3.451,0.861
Microsoft Game Studios,12/30/2016,2016,62.03,62.99,255575,62.14,6.66
Electronic Arts,12/30/2016,2016,80.56,78.52,1815869,78.76,10.04
Sony,12/30/2016,2016,28.12,27.9063,645349,28.03,3.42
Nintendo,12/30/2016,2016,5.25,5.18,1056510,5.19,1.739
